2500,35.26,-0.002,-0.011,1.013,0.04,0.13,-0.55,-170.18,356.43,69.54,0.2,4.154,99
2600,35.26,-0.003,-0.010,1.008,0.40,0.25,-0.24,-168.20,349.57,67.91,0.4,4.154,99
2700,35.24,-0.001,-0.011,1.008,-0.21,-0.13,-0.34,-169.46,349.28,73.64,0.2,4.154,99
2800,35.42,0.003,-0.007,1.011,0.04,0.01,-0.09,-171.11,361.56,70.16,0.5,4.154,99
2900,35.32,0.000,-0.008,1.006,-0.03,-0.07,-0.36,-159.76,348.96,62.28,0.7,4.154,99
3000,35.26,-0.003,-0.008,1.016,0.06,0.05,-0.38,-171.50,355.28,69.66,0.4,4.153,99
3100,35.31,-0.002,-0.009,1.005,-0.03,0.07,-0.19,-162.95,356.41,70.30,0.3,4.154,99
3200,35.27,-0.002,-0.010,1.013,-0.03,0.16,-0.63,-167.53,347.85,69.71,0.5,4.153,99
3300,35.29,0.000,-0.010,1.003,0.40,0.30,-0.37,-166.04,352.28,65.79,0.3,4.154,99
3400,35.27,-0.005,-0.009,1.012,0.02,-0.01,-0.13,-177.72,356.57,67.34,0.3,4.154,99
3500,35.36,0.003,-0.012,1.006,-0.25,-0.20,-0.55,-175.10,349.06,62.49,0.4,4.154,99
3600,35.30,-0.003,-0.006,1.010,-0.07,0.00,-0.14,-175.89,352.19,65.70,31.4,4.155,99
3700,35.28,-0.000,-0.010,1.010,-0.17,-0.07,-0.51,-169.98,353.89,68.42,0.2,4.153,99
3800,35.32,-0.003,-0.009,1.010,0.15,0.20,-0.57,-171.02,340.65,67.59,0.6,4.152,99
3900,35.26,-0.000,-0.012,1.010,-0.27,0.24,-0.04,-160.95,354.29,69.31,0.4,4.154,99
4000,35.36,-0.002,-0.009,1.008,-0.22,0.24,-0.51,-175.87,351.37,72.33,0.3,4.154,99
4100,35.44,0.001,-0.007,1.012,0.10,-0.02,-0.40,-165.44,355.27,67.01,0.2,4.153,99
4200,35.41,-0.003,-0.010,1.014,-0.04,0.02,-0.17,-165.85,359.07,65.75,0.2,4.155,99
4300,35.52,0.001,-0.007,1.010,0.10,-0.14,-0.40,-169.35,347.34,69.54,0.2,4.155,99
4400,35.49,0.001,-0.010,1.013,-0.11,0.15,0.06,-165.63,347.52,71.99,0.5,4.153,99
4500,35.38,-0.004,-0.014,1.003,-0.03,-0.00,-0.53,-165.26,353.84,68.21,0.0,4.154,99
4600,35.54,0.004,-0.012,1.007,-0.08,-0.21,-0.27,-164.28,354.57,64.88,0.1,4.156,99
4699,35.43,0.001,-0.017,1.011,0.18,0.09,-0.60,-152.57,348.34,63.11,0.2,4.153,99
4799,35.48,-0.003,-0.010,1.016,0.27,-0.35,-0.51,-167.56,353.58,65.18,0.0,4.154,99
4899,35.47,0.002,-0.013,1.013,0.07,0.31,0.01,-161.88,358.85,66.54,0.6,4.152,99
