timestamp_ms,temperature_c,acc_x_g,acc_y_g,acc_z_g,gyr_x_dps,gyr_y_dps,gyr_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,mic_level,bat_voltage_v,bat_percent
620937,42.33,0.0,-0.009,1.012,-0.18,0.06,-0.12,-158.47,357.26,44.35,0.1,4.167,100
621040,42.37,-0.001,-0.008,1.008,-0.31,0.12,-0.18,-194.45,360.26,50.35,0.2,4.167,100
621143,42.36,0.0,-0.011,1.009,-0.31,0.24,-0.31,-164.47,354.26,17.36,0.1,4.167,100
621246,42.33,0.001,-0.008,1.011,-0.24,0.12,-0.31,-185.46,369.26,65.34,0.1,4.167,100
621349,42.41,0.0,-0.009,1.011,-0.24,0.24,-0.24,-149.47,372.26,56.35,0.2,4.167,100
621452,42.39,0.001,-0.007,1.009,-0.18,0.12,-0.24,-164.47,360.26,8.37,0.1,4.167,100
621555,42.36,0.001,-0.006,1.012,-0.24,0.18,-0.31,-173.46,417.24,29.36,0.1,4.167,100
621658,42.33,0.0,-0.009,1.012,-0.24,0.31,-0.37,-176.46,396.25,47.35,0.1,4.167,100
621761,42.38,0.001,-0.009,1.011,-0.24,0.06,-0.18,-161.47,372.26,32.36,0.2,4.167,100
621864,42.38,0.001,-0.005,1.01,-0.31,0.24,-0.12,-149.47,426.23,11.37,0.1,4.167,100
621967,42.38,-0.001,-0.009,1.01,-0.24,0.06,-0.31,-185.46,372.26,59.35,0.1,4.167,100
622070,42.34,0.0,-0.009,1.011,-0.12,0.24,-0.24,-137.48,369.26,20.36,0.1,4.167,100
622173,42.36,0.001,-0.007,1.01,-0.18,0.12,-0.18,-176.46,408.24,26.36,0.1,4.167,100
622276,42.33,-0.001,-0.01,1.01,-0.24,0.12,-0.18,-179.46,378.25,50.35,0.2,4.167,100
622379,42.37,-0.0,-0.008,1.011,-0.18,0.24,-0.24,-149.47,408.24,47.35,0.1,4.167,100
622482,42.35,-0.001,-0.01,1.011,-0.12,0.06,-0.18,-191.46,384.25,35.36,0.2,4.167,100
622585,42.37,0.0,-0.008,1.011,-0.37,0.18,-0.24,-170.46,402.24,50.35,0.2,4.167,100
622688,42.36,-0.001,-0.008,1.01,-0.24,0.24,-0.12,-149.47,390.25,-12.62,0.2,4.167,100
622791,42.38,-0.001,-0.009,1.012,-0.24,0.24,-0.18,-164.47,393.25,17.36,0.2,4.167,100
622894,42.37,0.0,-0.009,1.011,-0.24,0.18,-0.24,-152.47,363.26,17.36,0.1,4.167,100
622997,42.34,0.001,-0.007,1.009,-0.24,0.24,-0.18,-149.47,369.26,-0.63,0.1,4.167,100
623100,42.39,-0.001,-0.01,1.011,-0.31,0.12,-0.37,-197.45,357.26,8.37,0.1,4.167,100
623203,42.38,0.0,-0.007,1.011,-0.12,0.24,-0.12,-149.47,384.25,59.35,0.1,4.167,100
623306,42.38,0.0,-0.008,1.012,-0.18,0.12,-0.31,-176.46,357.26,47.35,0.1,4.167,100
623409,42.35,0.0,-0.008,1.009,-0.18,0.12,-0.31,-173.46,369.26,20.36,0.1,4.167,100
623512,42.4,-0.001,-0.009,1.009,-0.24,0.18,-0.24,-158.47,369.26,44.35,0.1,4.167,100
623615,42.38,-0.001,-0.009,1.01,-0.12,0.06,-0.06,-158.47,411.24,29.36,0.2,4.167,100
623718,42.39,-0.001,-0.009,1.009,-0.18,0.18,-0.18,-122.48,360.26,32.36,0.1,4.167,100
623821,42.35,-0.001,-0.009,1.009,-0.18,0.24,-0.24,-158.47,387.25,5.37,0.1,4.166,100
623924,42.36,-0.001,-0.01,1.01,-0.18,0.06,-0.31,-173.46,420.24,62.34,0.1,4.166,100
624027,42.41,-0.001,-0.01,1.009,-0.18,0.18,-0.24,-155.47,369.26,59.35,0.2,4.166,100
624130,42.35,-0.001,-0.008,1.009,-0.43,0.24,-0.24,-164.47,417.24,53.35,0.2,4.166,100
624233,42.36,-0.001,-0.008,1.01,-0.24,0.12,-0.24,-164.47,417.24,53.35,0.1,4.166,100
624336,42.41,0.0,-0.008,1.009,-0.43,0.18,-0.24,-158.47,411.24,35.36,0.1,4.166,100
624439,42.36,0.0,-0.008,1.009,-0.24,0.24,-0.18,-161.47,348.27,59.35,0.2,4.166,100
624542,42.37,0.001,-0.008,1.012,-0.31,0.24,-0.24,-161.47,378.25,29.36,0.3,4.166,100
624645,42.35,-0.0,-0.007,1.012,-0.37,0.24,-0.31,-167.47,429.23,65.34,0.3,4.166,100
624748,42.34,0.0,-0.008,1.011,-0.12,0.0,-0.12,-179.46,417.24,17.36,0.3,4.166,100
624851,42.35,0.001,-0.007,1.012,-0.18,0.37,-0.24,-173.46,390.25,14.36,0.3,4.166,100
624954,42.37,-0.0,-0.009,1.01,-0.24,0.12,-0.31,-161.47,417.24,65.34,0.3,4.166,100
625057,42.37,-0.002,-0.01,1.012,-0.12,0.18,-0.24,-158.47,372.26,44.35,0.3,4.166,100
625160,42.35,-0.003,-0.01,1.008,-0.24,0.18,-0.18,-170.46,369.26,32.36,0.2,4.166,100
625263,42.36,-0.001,-0.007,1.01,-0.12,0.18,-0.24,-155.47,420.24,41.35,0.2,4.166,100
625366,42.35,0.0,-0.009,1.011,-0.31,0.18,-0.24,-149.47,351.26,56.35,0.2,4.166,100
625469,42.36,0.0,-0.008,1.011,-0.12,0.0,-0.24,-167.47,417.24,35.36,0.2,4.166,100
625572,42.36,-0.0,-0.007,1.012,-0.18,0.06,-0.18,-173.46,399.24,32.36,0.1,4.166,100
625675,42.38,-0.0,-0.008,1.01,-0.31,0.18,-0.06,-176.46,375.25,47.35,0.1,4.166,100
625778,42.38,-0.002,-0.008,1.009,-0.31,0.18,-0.18,-158.47,414.24,29.36,0.1,4.166,100
625881,42.37,-0.0,-0.011,1.011,-0.31,0.18,-0.18,-176.46,414.24,17.36,0.1,4.166,100
625984,42.35,0.0,-0.008,1.01,-0.31,0.18,-0.37,-173.46,411.24,20.36,0.1,4.166,100
626087,42.33,0.001,-0.009,1.01,-0.31,0.24,-0.31,-158.47,363.26,41.35,0.1,4.166,100
626190,42.37,0.0,-0.007,1.011,-0.31,0.24,-0.37,-164.47,405.24,56.35,0.2,4.166,100
626293,42.36,0.001,-0.006,1.011,-0.37,0.24,-0.37,-173.46,360.26,41.35,0.2,4.166,100
626396,42.37,0.0,-0.008,1.009,-0.24,0.12,-0.24,-161.47,360.26,47.35,0.2,4.166,100
626499,42.39,0.0,-0.009,1.01,-0.24,0.18,-0.24,-176.46,390.25,44.35,0.2,4.166,100
626602,42.39,-0.001,-0.01,1.01,-0.24,0.24,-0.24,-131.48,366.26,11.37,0.2,4.166,100
626705,42.39,-0.0,-0.01,1.01,-0.37,0.18,-0.18,-191.46,375.25,23.36,0.2,4.166,100
626808,42.37,-0.0,-0.01,1.01,-0.24,0.24,-0.18,-170.46,381.25,38.35,0.1,4.167,100
626911,42.42,-0.001,-0.009,1.013,-0.18,0.24,-0.24,-155.47,414.24,32.36,0.1,4.167,100
627014,42.36,0.001,-0.009,1.01,-0.24,0.24,-0.12,-152.47,411.24,41.35,0.2,4.167,100
627117,42.38,-0.001,-0.009,1.012,-0.24,0.24,-0.24,-155.47,408.24,38.35,0.2,4.167,100
627220,42.36,-0.001,-0.01,1.011,-0.24,0.18,-0.18,-161.47,408.24,47.35,0.3,4.167,100
627323,42.39,-0.0,-0.008,1.009,-0.18,0.18,-0.18,-173.46,390.25,23.36,0.2,4.167,100
627426,42.4,-0.001,-0.008,1.011,-0.06,0.18,-0.31,-176.46,381.25,47.35,0.3,4.167,100
627529,42.38,-0.001,-0.007,1.011,-0.12,0.18,-0.37,-173.46,375.25,20.36,0.2,4.167,100
627632,42.39,-0.0,-0.01,1.01,-0.24,0.18,-0.24,-137.48,402.24,17.36,0.1,4.167,100
627735,42.36,-0.001,-0.01,1.009,-0.18,0.18,-0.24,-182.46,351.26,71.34,0.1,4.167,100
627838,42.37,0.001,-0.008,1.01,-0.12,0.06,-0.18,-164.47,381.25,-0.63,0.3,4.167,100
627941,42.37,-0.001,-0.008,1.008,-0.18,0.0,-0.18,-158.47,372.26,-6.63,0.3,4.167,100
628044,42.4,-0.001,-0.009,1.01,-0.31,0.18,-0.43,-143.48,384.25,38.35,0.2,4.167,100
628147,42.37,-0.002,-0.01,1.011,-0.24,0.06,-0.18,-146.47,381.25,5.37,0.2,4.167,100
628250,42.39,-0.003,-0.009,1.011,-0.37,0.24,-0.31,-179.46,366.26,47.35,0.3,4.167,100
628353,42.37,0.001,-0.009,1.01,-0.18,0.18,-0.18,-158.47,390.25,8.37,0.3,4.167,100
628456,42.38,0.001,-0.009,1.01,-0.24,0.18,-0.24,-170.46,402.24,20.36,0.4,4.167,100
628559,42.39,0.0,-0.01,1.01,-0.31,0.24,-0.24,-182.46,351.26,32.36,0.8,4.167,100
628662,42.38,-0.0,-0.009,1.011,-0.18,0.12,-0.12,-164.47,375.25,29.36,0.8,4.167,100
628765,42.36,-0.0,-0.009,1.01,-0.18,0.18,-0.18,-149.47,366.26,50.35,0.7,4.167,100
628868,42.4,-0.001,-0.009,1.01,-0.37,0.06,-0.24,-185.46,372.26,8.37,0.6,4.166,100
628971,42.39,0.0,-0.006,1.009,-0.31,0.12,-0.37,-152.47,402.24,38.35,0.5,4.166,100
629074,42.39,-0.0,-0.007,1.008,-0.18,0.12,-0.18,-164.47,408.24,14.36,0.6,4.166,100
